question,answer,intent,context
dimana alamat Kantor Pusat HIK Parahyangan ?,"Kantor Pusat BPRS HIK Parahyangan
Jl Percobaan No. 38B , Cileunyi Kulon , Cileunyi, Bandung Jawa Barat 40622
https://www.hikparahyangan.co.id/tentang-kami",Alamat,BPRS HIK Parahyangan 
Apa dasar pertimbangan penetapan modal disetor pendirian Bisnis Unit Syariah (BUS) baru paling sedikit Rp 10 Triliun?,"Untuk dapat memastikan bahwa BUS baru yang akan didirikan dapat 
berkontribusi positif terhadap industri perbankan serta memperkuat 
perekonomian nasional maka perlu dilakukan pengkinian syarat pendirian BUS 
baru terutama dari aspek permodalan. Fungsi modal bagi BUS bukan hanya untuk 
menjalankan operasional bank dan pengembangan usaha namun juga berfungsi 
untuk menyerap kerugian yang dapat timbul (buffer) apabila terjadi kerugian usaha 
bank. Dari penelitian yang telah dilakukan mengenai efisiensi bank umum di 
Indonesia, diperoleh kesimpulan bahwa modal inti perbankan yang dapat 
mendukung operasional yang efisien berada pada rentang Rp. 3,8 Triliun sampai 
dengan Rp. 11,8 Triliun, dengan rata-rata Rp 6,7 Triliun.
Atas pertimbangan-pertimbangan tersebut di atas, kewajiban modal disetor 
minimum untuk pendirian BUS baru ditetapkan paling sedikit Rp. 10 Triliun.
Namun demikian, persyaratan modal disetor minimum untuk pendirian BUS hasil 
pemisahan UUS dikecualikan dari kewajiban modal disetor minimum pendirian 
bank baru dan tetap mengikuti syarat permodalan sesuai dengan peraturan 
perundang-undangan mengenai pemisahan UUS.",Bank Regulation,penetapan modal disetor 10 Triliun
Apa benar ada persyaratan modal disetor untuk membuka Bank Syariah atau Bisnis Unit Syariah?,"Ya benar ada peraturan dan limit terkait modal disetor dalam pendirian Bank Syariah atau Bisnis Unit Syariah. Karena untuk  memastikan bahwa BUS baru yang akan didirikan dapat 
berkontribusi positif terhadap industri perbankan serta memperkuat 
perekonomian nasional maka perlu dilakukan pengkinian syarat pendirian BUS 
baru terutama dari aspek permodalan. Fungsi modal bagi BUS bukan hanya untuk 
menjalankan operasional bank dan pengembangan usaha namun juga berfungsi 
untuk menyerap kerugian yang dapat timbul (buffer) apabila terjadi kerugian usaha 
bank. Dari penelitian yang telah dilakukan mengenai efisiensi bank umum di 
Indonesia, diperoleh kesimpulan bahwa modal inti perbankan yang dapat 
mendukung operasional yang efisien berada pada rentang Rp. 3,8 Triliun sampai 
dengan Rp. 11,8 Triliun, dengan rata-rata Rp 6,7 Triliun.
Atas pertimbangan-pertimbangan tersebut di atas, kewajiban modal disetor 
minimum untuk pendirian BUS baru ditetapkan paling sedikit Rp. 10 Triliun.
Namun demikian, persyaratan modal disetor minimum untuk pendirian BUS hasil 
pemisahan UUS dikecualikan dari kewajiban modal disetor minimum pendirian 
bank baru dan tetap mengikuti syarat permodalan sesuai dengan peraturan 
perundang-undangan mengenai pemisahan UUS.",Bank Regulation,penetapan modal disetor 10 Triliun
berapakah aturan modal disetor untuk pendirian / pembukaan Bank Unit Syariah?,"Jadi untuk dapat memastikan bahwa BUS baru yang akan didirikan dapat 
berkontribusi positif terhadap industri perbankan serta memperkuat 
perekonomian nasional maka perlu dilakukan pengkinian syarat pendirian BUS 
baru terutama dari aspek permodalan. Fungsi modal bagi BUS bukan hanya untuk 
menjalankan operasional bank dan pengembangan usaha namun juga berfungsi 
untuk menyerap kerugian yang dapat timbul (buffer) apabila terjadi kerugian usaha 
bank. Dari penelitian yang telah dilakukan mengenai efisiensi bank umum di 
Indonesia, diperoleh kesimpulan bahwa modal inti perbankan yang dapat 
mendukung operasional yang efisien berada pada rentang Rp. 3,8 Triliun sampai 
dengan Rp. 11,8 Triliun, dengan rata-rata Rp 6,7 Triliun.
Atas pertimbangan-pertimbangan tersebut di atas, kewajiban modal disetor 
minimum untuk pendirian BUS baru ditetapkan paling sedikit Rp. 10 Triliun.
Namun demikian, persyaratan modal disetor minimum untuk pendirian BUS hasil 
pemisahan UUS dikecualikan dari kewajiban modal disetor minimum pendirian 
bank baru dan tetap mengikuti syarat permodalan sesuai dengan peraturan 
perundang-undangan mengenai pemisahan UUS.",Bank Regulation,penetapan modal disetor 10 Triliun
berapakah nilai aset HIK Parahyangan saat ini?,untuk melihat informasi terkait informasi perusahaan HIK Parahyangan - kamu dapat check disini ya..https://www.hikparahyangan.co.id/laporan-publikasi,Neraca Perusahaan,BPRS HIK Parahyangan 
Apa itu bank syariah? ,"Bank syariah adalah lembaga keuangan yang beroperasi berdasarkan prinsip-prinsip syariah Islam, yang melarang riba (bunga), gharar (ketidakpastian), dan maisir (perjudian)1.",Bank Regulation,Bank Syariah
apakah bank syariah itu ?,"Jadi Bank Syariah adalah merupakan lembaga keuangan yang beroperasi berdasarkan prinsip-prinsip syariah Islam, yang melarang riba (bunga), gharar (ketidakpastian), dan maisir (perjudian)1.",Bank Regulation,Bank Syariah
Apa itu gharar dan mengapa dilarang? ,"Gharar adalah ketidakpastian atau spekulasi dalam transaksi, yang dilarang karena dapat merugikan salah satu pihak1.",Bank Regulation,Gharar
Apa itu maisir dan mengapa dilarang,"Maisir adalah perjudian atau taruhan, yang dilarang karena mengandung unsur spekulasi dan ketidakpastian1.",Bank Regulation,Maisir
Apa itu produk pembiayaan syariah,"Produk pembiayaan syariah termasuk pembiayaan dengan akad Murabaha, Ijarah, dan Mudharabah1.",Bank Regulation,Produk-produk Syariah
kenapa tidak boleh ada Riba ?,"Karena Riba adalah bunga atau keuntungan tambahan yang diperoleh dari pinjaman uang, dan dilarang dalam Islam karena dianggap tidak adil1.",Bank Regulation,Riba
Apa itu riba dan mengapa dilarang dalam Islam? ,"Riba adalah bunga atau keuntungan tambahan yang diperoleh dari pinjaman uang, dan dilarang dalam Islam karena dianggap tidak adil1.",Bank Regulation,Riba
Apa benar Bank Syariah tidak riba dan mengapa dilarang dalam Islam?,"Ya benar, peraturan syariah mensyaratkan untuk menjauhi Riba dalam transaksi keuangannya. Karena Riba adalah bunga atau keuntungan tambahan yang diperoleh dari pinjaman uang, dan dilarang dalam Islam karena dianggap tidak adil1.",Bank Regulation,Riba
apakah Bank Syariah menerapkan Bunga atau Riba ?,"tentu tidak, Bank Syariah mengharamkan bentuk Riba karena peraturan syariah mensyaratkan untuk menjauhi Riba dalam transaksi keuangannya. Karena Riba adalah bunga atau keuntungan tambahan yang diperoleh dari pinjaman uang, dan dilarang dalam Islam karena dianggap tidak adil1.",Bank Regulation,Riba
Apa itu Sentra Keuangan Khusus?,"Sentra Keuangan Khusus merupakan jenis kantor baru pada BPR atau 
BPR Syariah yang berada di bawah Kantor Pusat atau Kantor Cabang 
yang melaksanakan usaha perbankan terbatas dalam 1 (satu) kegiatan, 
dengan alamat yang jelas. Sentra Keuangan Khusus hanya dapat 
melakukan kegiatan antara:
a. layanan penghimpunan dana seperti penerimaan kas, pemrosesan 
penghimpunan dana, dan pemberian keputusan atas permohonan 
penghimpunan dana; atau
b. layanan penyaluran dana seperti pemrosesan penyaluran dana 
termasuk penerimaan permohonan kredit atau pembiayaan, 
analisis, dan pemberian keputusan atas permohonan penyaluran 
dana.
Pembukaan Sentra Keuangan Khusus wajib memperoleh izin dari OJK.",Bank Regulation,Sentra Keuangan Khusus
Apa itu zakat dan bagaimana bank syariah mengelolanya,"Zakat adalah kewajiban memberikan sebagian harta kepada yang berhak, dan bank syariah sering menyediakan layanan pengumpulan dan penyaluran zakat1.",Bank Regulation,Zakat
Apa latar belakang adanya pengaturan mengenai sinergi perbankan PERATURAN OTORITAS JASA KEUANGAN NOMOR 16/POJK.03/2022 TENTANG BANK UMUM SYARIAH,"Pengaturan sinergi perbankan dilakukan dalam rangka meningkatkan 
optimalisasi infrastruktur perbankan serta meningkatkan efisiensi operasional 
lembaga jasa keuangan yang tergabung dalam satu kelompok usaha dalam 
bentuk resource sharing antar lembaga jasa keuangan yang berada dalam satu 
kelompok usaha untuk mendapatkan nilai tambah secara konsolidasi. 
Dukungan terhadap sinergi dalam kelompok usaha tersebut juga dimaksudkan 
untuk mendorong konsolidasi perbankan sebagaimana diatur dalam POJK No. 
12 /POJK.03/2020 tentang Konsolidasi Bank Umum, dimana untuk bank yang 
bukan merupakan kelompok usaha bank diharuskan memiliki modal inti 
minimum paling sedikit sebesar Rp. 3 triliun, sedangkan bank umum yang 
merupakan kelompok usaha bank dapat memiliki modal inti minimum sebesar 
Rp. 1 Triliun, dengan asumsi kegiatan usaha bank akan dapat didukung melalui 
sinergi dengan bank induknya.
Sinergi sangat diperlukan untuk dapat memajukan industri perbankan syariah,
mengingat mayoritas BUS yang ada saat ini merupakan bagian dari kelompok 
usaha bank. Dengan adanya dukungan untuk melakukan sinergi, diharapkan 
BUS dapat meningkatkan efisiensi kegiatan operasionalnya dengan tetap 
berpegang kepada prinsip kehati-hatian dan manajemen risiko yang baik serta 
tidak bertentangan dengan peraturan perundang-undangan yang berlaku.",Bank Regulation,Pengaturan mengenai sinergi perbankan
Apa latar belakang adanya perubahan pengelompokan bank menjadi KBMI dari sebelumnya menggunakan BUKU?,"Sejalan dengan arah pengembangan pengaturan di OJK yang lebih bersifat 
principle based, pengelompokan kegiatan usaha bank berdasarkan modal inti 
perlu untuk dikinikan. Pengelompokan BUKU bank menjadi kurang relevan 
mengingat sesuai dengan POJK No.13/POJK.03/2021 tentang Penyelenggaraan 
Produk Bank Umum, perizinan penyelenggaraan produk oleh Bank Umum lebih 
menggunakan pendekatan assessment risiko oleh Pengawas.
Pengelompokan bank dengan menggunakan KBMI didapatkan dari hasil kajian
clustering pengelompokan bank berdasarkan kondisi terkini perbankan di 
Indonesia termasuk BUS dan UUS sehingga lebih mewakili profil industri 
perbankan di Indonesia dan dapat digunakan untuk kepentingan pengaturan 
ketentuan prudensial Bank Umum tertentu serta untuk kebutuhan statistik.",Bank Regulation,Perubahan pengelompokan bank menjadi KBMI
